Title,Description,Status,Priority,Project,Labels,Estimate,Parent issue
"Search conversations by contact name","Add search bar in conversation list to filter by contact name in real-time","Backlog","3","Audit Exporter","search,ux,M1","2",""
"Filter by date range","Add date range filters: last 7/30/90 days, or custom date picker","Backlog","3","Audit Exporter","filter,ux,M1","3",""
"Filter by message count","Allow filtering conversations by minimum message count threshold","Backlog","4","Audit Exporter","filter,M1","2",""
"Progress bar during export","Show progress bar with percentage complete during export process","Backlog","2","Audit Exporter","export,ux,M1","3",""
"Estimated time remaining","Calculate and display estimated time remaining during export","Backlog","4","Audit Exporter","export,ux,M1","2",""
"Cancel export mid-process","Add ability to cancel ongoing export operation","Backlog","3","Audit Exporter","export,M1","3",""
"Export preview","Show preview of export content before saving","Backlog","4","Audit Exporter","export,ux,M1","4",""
"Settings: Default export location","Allow users to set default export folder in preferences","Backlog","3","Audit Exporter","settings,M1","2",""
"Settings: Timestamp format","Allow 12hr/24hr timestamp format preference","Backlog","4","Audit Exporter","settings,M1","1",""
"Settings: File naming conventions","Customizable file naming patterns for exports","Backlog","4","Audit Exporter","settings,M1","3",""
"Dark/light mode toggle","Add theme switcher in settings","Backlog","4","Audit Exporter","settings,ux,M1","2",""
"Remember window size/position","Persist window dimensions and position between sessions","Backlog","4","Audit Exporter","ux,M1","2",""
"Export history","Show last 10 exports with quick access","Backlog","3","Audit Exporter","ux,M1","3",""
"Quick re-export","One-click re-export of previous export configurations","Backlog","4","Audit Exporter","export,M1","2",""
"Keyboard shortcuts","Add Cmd+E (export), Cmd+F (search), etc.","Backlog","4","Audit Exporter","ux,accessibility,M1","2",""
"Add error boundary in React","Implement error boundaries to prevent full app crashes","Backlog","2","Audit Exporter","technical-debt,M1","2",""
"Improve error messages","Make error messages user-friendly and actionable","Backlog","3","Audit Exporter","technical-debt,ux,M1","2",""
"Add logging system","Implement logging for debugging user issues","Backlog","2","Audit Exporter","technical-debt,M1","3",""
"Performance optimization","Optimize conversation list rendering for 10k+ conversations","Backlog","3","Audit Exporter","technical-debt,performance,M1","4",""
"PDF Export","Export conversations as formatted PDF with metadata and page numbers","Backlog","2","Audit Exporter","export,pdf,M2","5",""
"PDF: Include attachment thumbnails","Embed image thumbnails in PDF exports","Backlog","3","Audit Exporter","export,pdf,M2","3","PDF Export"
"PDF: Header with agent info","Add customizable header with export date and agent information","Backlog","4","Audit Exporter","export,pdf,M2","2","PDF Export"
"CSV Export","Export messages as CSV with columns: timestamp, sender, message, attachments","Backlog","3","Audit Exporter","export,csv,M2","3",""
"HTML Export","Export as interactive HTML with chat bubble UI and embedded images","Backlog","3","Audit Exporter","export,html,M2","4",""
"Export attachments to subfolder","Create subfolder for attachments during export","Backlog","3","Audit Exporter","export,attachments,M2","3",""
"File size summary","Show total file size before starting export","Backlog","4","Audit Exporter","export,ux,M2","1",""
"Conversation merging","Merge multiple phone numbers for same contact","Backlog","3","Audit Exporter","data-management,M3","5",""
"Full-text search","Search across all message content with highlighting","Backlog","2","Audit Exporter","search,M3","5",""
"Search by attachment type","Filter messages by attachment type (images, documents, etc.)","Backlog","4","Audit Exporter","search,attachments,M3","3",""
"Regex search support","Enable regex patterns for power user searches","Backlog","4","Audit Exporter","search,power-user,M3","3",""
"Tag conversations","Add custom tags to conversations (buyer, seller, closed, etc.)","Backlog","3","Audit Exporter","tagging,organization,M3","4",""
"Bulk tagging","Apply tags to multiple conversations at once","Backlog","4","Audit Exporter","tagging,organization,M3","2","Tag conversations"
"Export templates","Create reusable export configuration templates","Backlog","3","Audit Exporter","export,templates,M3","4",""
"Scheduled exports","Auto-export tagged conversations on schedule (monthly, etc.)","Backlog","4","Audit Exporter","export,automation,M3","5",""
"Windows: iTunes backup detection","Detect and list iTunes/Finder iPhone backups on Windows","Backlog","2","Audit Exporter","windows,platform,M4","5",""
"Windows: Parse backup files","Extract messages from iPhone backup SQLite database","Backlog","2","Audit Exporter","windows,platform,M4","5","Windows: iTunes backup detection"
"Windows: Backup encryption","Handle encrypted backups with password prompt","Backlog","3","Audit Exporter","windows,security,M4","4","Windows: iTunes backup detection"
"Windows: Native UI","Adapt UI for Windows (titlebar, file explorer integration)","Backlog","3","Audit Exporter","windows,ux,M4","3",""
"Windows: Backup management UI","List available backups with dates and staleness warnings","Backlog","3","Audit Exporter","windows,ux,M4","3",""
"Windows: System tray icon","Add system tray icon with quick actions","Backlog","4","Audit Exporter","windows,ux,M4","2",""
"Android: ADB connection","Connect to Android device via USB debugging and ADB","Backlog","2","Audit Exporter","android,platform,M5","5",""
"Android: Pull SMS database","Extract mmssms.db from Android device storage","Backlog","2","Audit Exporter","android,platform,M5","4","Android: ADB connection"
"Android: Parse SMS/MMS","Parse Android SMS/MMS database schema","Backlog","2","Audit Exporter","android,platform,M5","5",""
"Android: Backup file import","Support Android .ab backup file import","Backlog","3","Audit Exporter","android,platform,M5","4",""
"Android: Material Design UI","Add Android-specific Material Design elements","Backlog","4","Audit Exporter","android,ux,M5","3",""
"Android: Handle group MMS","Properly parse and display group MMS conversations","Backlog","3","Audit Exporter","android,M5","4",""
"Cloud: Google Drive integration","Auto-upload exports to Google Drive","Backlog","3","Audit Exporter","cloud,integrations,M6","5",""
"Cloud: OneDrive integration","Auto-upload exports to OneDrive","Backlog","3","Audit Exporter","cloud,integrations,M6","4",""
"Cloud: Dropbox integration","Auto-upload exports to Dropbox","Backlog","3","Audit Exporter","cloud,integrations,M6","4",""
"Team: Share exports","Share export files with team members","Backlog","3","Audit Exporter","team,collaboration,M6","4",""
"Team: Admin dashboard","Centralized dashboard for viewing all agent exports","Backlog","2","Audit Exporter","team,admin,M6","5",""
"Web portal: View exports","Web interface to view archived conversations","Backlog","3","Audit Exporter","web,viewer,M6","5",""
"Web portal: Search","Search across all archived conversations from web","Backlog","3","Audit Exporter","web,search,M6","4","Web portal: View exports"
"Authentication: Email/password","Basic authentication system with email and password","Backlog","2","Audit Exporter","auth,backend,M7","5",""
"Authentication: OAuth","Google and Apple OAuth login","Backlog","3","Audit Exporter","auth,backend,M7","4","Authentication: Email/password"
"Payment: Stripe integration","Integrate Stripe for subscription payments","Backlog","2","Audit Exporter","payments,backend,M7","5",""
"Payment: Subscription management","Handle upgrades, downgrades, cancellations","Backlog","2","Audit Exporter","payments,backend,M7","4","Payment: Stripe integration"
"License enforcement","Check license on launch and enforce tier limits","Backlog","2","Audit Exporter","licensing,backend,M7","4",""
"Free tier limitations","Implement 10 exports/month limit and text-only for free tier","Backlog","3","Audit Exporter","licensing,M7","3","License enforcement"
"Analytics: Usage tracking","Track export counts, formats, and feature usage (privacy-focused)","Backlog","3","Audit Exporter","analytics,backend,M7","4",""
"Marketing: Landing page","Create marketing website with features and pricing","Backlog","2","Audit Exporter","marketing,web,M7","5",""
"Marketing: Documentation","Comprehensive docs for users","Backlog","3","Audit Exporter","marketing,docs,M7","4",""
"WhatsApp: Import chat exports","Parse WhatsApp chat export files (.txt format)","Backlog","3","Audit Exporter","whatsapp,platform,M8","5",""
"WhatsApp: Handle media","Import images, videos, voice notes from WhatsApp","Backlog","3","Audit Exporter","whatsapp,media,M8","4","WhatsApp: Import chat exports"
"WhatsApp: Group chat support","Handle WhatsApp group conversations","Backlog","3","Audit Exporter","whatsapp,M8","3","WhatsApp: Import chat exports"
"Signal: Backup import","Import Signal backup files with decryption","Backlog","3","Audit Exporter","signal,platform,M8","5",""
"Signal: Desktop DB access","Access Signal Desktop database for exports","Backlog","3","Audit Exporter","signal,platform,M8","4",""
"Cross-platform: Unified export","Merge conversations from multiple platforms into single export","Backlog","3","Audit Exporter","cross-platform,M8","5",""
"Cross-platform: Timeline view","Unified timeline showing messages from all platforms","Backlog","3","Audit Exporter","cross-platform,ux,M8","4","Cross-platform: Unified export"